file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m1_c5.out,  p3m1,1000,5,uneven,0.405,ideal ,0.914,  p3,  m1
p3m1_c6.out,  p3m1,1000,6,uneven,0.405,ideal ,0.924,  p3,  m1
p3m1_c2.out,  p3m1,1000,2,uneven,0.9,ideal ,0.921,  p3,  m1
p3m1_c3.out,  p3m1,1000,3,uneven,0.9,ideal ,0.895,  p3,  m1
p3m1_c4.out,  p3m1,1000,4,uneven,0.9,ideal ,0.914,  p3,  m1
p3m1_c5.out,  p3m1,1000,5,uneven,0.9,ideal ,0.909,  p3,  m1
p3m1_c6.out,  p3m1,1000,6,uneven,0.9,ideal ,0.92,  p3,  m1
p3m1_c2.out,  p3m1,1000,2,uneven,1.5,ideal ,0.922,  p3,  m1
p3m1_c3.out,  p3m1,1000,3,uneven,1.5,ideal ,0.896,  p3,  m1
p3m1_c4.out,  p3m1,1000,4,uneven,1.5,ideal ,0.906,  p3,  m1
p3m1_c5.out,  p3m1,1000,5,uneven,1.5,ideal ,0.898,  p3,  m1
p3m1_c6.out,  p3m1,1000,6,uneven,1.5,ideal ,0.904,  p3,  m1
p3m1_c2.out,  p3m1,200,2,uneven,0.405,ideal ,0.949,  p3,  m1
p3m1_c3.out,  p3m1,200,3,uneven,0.405,ideal ,0.945,  p3,  m1
p3m1_c4.out,  p3m1,200,4,uneven,0.405,ideal ,0.96,  p3,  m1
p3m1_c5.out,  p3m1,200,5,uneven,0.405,ideal ,0.959,  p3,  m1
p3m1_c6.out,  p3m1,200,6,uneven,0.405,ideal ,0.927,  p3,  m1
p3m1_c2.out,  p3m1,200,2,uneven,0.9,ideal ,0.95,  p3,  m1
p3m1_c3.out,  p3m1,200,3,uneven,0.9,ideal ,0.939,  p3,  m1
p3m1_c4.out,  p3m1,200,4,uneven,0.9,ideal ,0.956,  p3,  m1
p3m1_c5.out,  p3m1,200,5,uneven,0.9,ideal ,0.959,  p3,  m1
p3m1_c6.out,  p3m1,200,6,uneven,0.9,ideal ,0.926,  p3,  m1
p3m1_c2.out,  p3m1,200,2,uneven,1.5,ideal ,0.95,  p3,  m1
p3m1_c3.out,  p3m1,200,3,uneven,1.5,ideal ,0.944,  p3,  m1
p3m1_c4.out,  p3m1,200,4,uneven,1.5,ideal ,0.96,  p3,  m1
p3m1_c5.out,  p3m1,200,5,uneven,1.5,ideal ,0.957,  p3,  m1
p3m1_c6.out,  p3m1,200,6,uneven,1.5,ideal ,0.95,  p3,  m1
p3m1_c2.out,  p3m1,500,2,uneven,0.405,ideal ,0.937,  p3,  m1
p3m1_c3.out,  p3m1,500,3,uneven,0.405,ideal ,0.903,  p3,  m1
p3m1_c4.out,  p3m1,500,4,uneven,0.405,ideal ,0.934,  p3,  m1
p3m1_c5.out,  p3m1,500,5,uneven,0.405,ideal ,0.913,  p3,  m1
p3m1_c6.out,  p3m1,500,6,uneven,0.405,ideal ,0.916,  p3,  m1
p3m1_c2.out,  p3m1,500,2,uneven,0.9,ideal ,0.937,  p3,  m1
p3m1_c3.out,  p3m1,500,3,uneven,0.9,ideal ,0.904,  p3,  m1
p3m1_c4.out,  p3m1,500,4,uneven,0.9,ideal ,0.929,  p3,  m1
p3m1_c5.out,  p3m1,500,5,uneven,0.9,ideal ,0.913,  p3,  m1
p3m1_c6.out,  p3m1,500,6,uneven,0.9,ideal ,0.923,  p3,  m1
p3m1_c2.out,  p3m1,500,2,uneven,1.5,ideal ,0.938,  p3,  m1
p3m1_c3.out,  p3m1,500,3,uneven,1.5,ideal ,0.895,  p3,  m1
p3m1_c4.out,  p3m1,500,4,uneven,1.5,ideal ,0.927,  p3,  m1
p3m1_c5.out,  p3m1,500,5,uneven,1.5,ideal ,0.908,  p3,  m1
p3m1_c6.out,  p3m1,500,6,uneven,1.5,ideal ,0.902,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,uneven,0.405,ideal ,0.913,  p3,  m1
p3m1_c3.out,  p3m1,5000,3,uneven,0.405,ideal ,0.891,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,uneven,0.405,ideal ,0.914,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,uneven,0.405,ideal ,0.912,  p3,  m1
p3m1_c6.out,  p3m1,5000,6,uneven,0.405,ideal ,0.883,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,uneven,0.9,ideal ,0.912,  p3,  m1
p3m1_c3.out,  p3m1,5000,3,uneven,0.9,ideal ,0.883,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,uneven,0.9,ideal ,0.906,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,uneven,0.9,ideal ,0.907,  p3,  m1
p3m1_c6.out,  p3m1,5000,6,uneven,0.9,ideal ,0.871,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,uneven,1.5,ideal ,0.913,  p3,  m1
