Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
VLMR,p2m1,even,realistic,200,simple,20,32,38,10,495,p2,m1
VLMR,p2m1,even,realistic,500,simple,9,5,71,14,494,p2,m1
VLMR,p2m1,even,realistic,1000,simple,4,0,78,18,484,p2,m1
VLMR,p2m1,even,realistic,5000,simple,0,0,81,19,474,p2,m1
VLMR,p2m1,uneven,realistic,200,simple,26,41,26,6,493,p2,m1
VLMR,p2m1,uneven,realistic,500,simple,9,11,68,12,496,p2,m1
VLMR,p2m1,uneven,realistic,1000,simple,5,0,77,17,491,p2,m1
VLMR,p2m1,uneven,realistic,5000,simple,0,0,76,24,474,p2,m1
aBIC,p2m1,even,realistic,200,simple,0,8,81,11,495,p2,m1
aBIC,p2m1,even,realistic,500,simple,0,0,98,1,494,p2,m1
aBIC,p2m1,even,realistic,1000,simple,0,0,100,0,484,p2,m1
aBIC,p2m1,even,realistic,5000,simple,0,0,100,0,474,p2,m1
aBIC,p2m1,uneven,realistic,200,simple,0,19,75,6,493,p2,m1
aBIC,p2m1,uneven,realistic,500,simple,0,0,99,1,496,p2,m1
aBIC,p2m1,uneven,realistic,1000,simple,0,0,100,0,491,p2,m1
aBIC,p2m1,uneven,realistic,5000,simple,0,0,100,0,474,p2,m1
cmPk,p2m1,even,realistic,200,simple,55,40,4,0,495,p2,m1
cmPk,p2m1,even,realistic,500,simple,0,13,87,0,494,p2,m1
cmPk,p2m1,even,realistic,1000,simple,0,0,100,0,484,p2,m1
cmPk,p2m1,even,realistic,5000,simple,0,0,100,0,474,p2,m1
cmPk,p2m1,uneven,realistic,200,simple,63,36,1,0,493,p2,m1
cmPk,p2m1,uneven,realistic,500,simple,1,38,60,0,496,p2,m1
cmPk,p2m1,uneven,realistic,1000,simple,0,0,100,0,491,p2,m1
cmPk,p2m1,uneven,realistic,5000,simple,0,0,100,0,474,p2,m1
AWE,p2m2,even,realistic,200,simple,100,0,0,0,164,p2,m2
AWE,p2m2,even,realistic,500,simple,97,2,0,0,272,p2,m2
AWE,p2m2,even,realistic,1000,simple,2,7,92,0,318,p2,m2
AWE,p2m2,even,realistic,5000,simple,0,0,100,0,417,p2,m2
AWE,p2m2,uneven,realistic,200,simple,100,0,0,0,177,p2,m2
AWE,p2m2,uneven,realistic,500,simple,76,24,0,0,267,p2,m2
AWE,p2m2,uneven,realistic,1000,simple,0,47,53,0,311,p2,m2
AWE,p2m2,uneven,realistic,5000,simple,0,0,100,0,404,p2,m2
BIC,p2m2,even,realistic,200,simple,38,44,18,0,164,p2,m2
BIC,p2m2,even,realistic,500,simple,0,1,99,0,272,p2,m2
BIC,p2m2,even,realistic,1000,simple,0,0,100,0,318,p2,m2
BIC,p2m2,even,realistic,5000,simple,0,0,100,0,417,p2,m2
BIC,p2m2,uneven,realistic,200,simple,22,63,15,0,177,p2,m2
BIC,p2m2,uneven,realistic,500,simple,0,6,94,0,267,p2,m2
BIC,p2m2,uneven,realistic,1000,simple,0,0,100,0,311,p2,m2
BIC,p2m2,uneven,realistic,5000,simple,0,0,100,0,404,p2,m2
CAIC,p2m2,even,realistic,200,simple,71,24,5,0,164,p2,m2
CAIC,p2m2,even,realistic,500,simple,0,3,97,0,272,p2,m2
CAIC,p2m2,even,realistic,1000,simple,0,0,100,0,318,p2,m2
CAIC,p2m2,even,realistic,5000,simple,0,0,100,0,417,p2,m2
CAIC,p2m2,uneven,realistic,200,simple,53,45,3,0,177,p2,m2
CAIC,p2m2,uneven,realistic,500,simple,0,22,78,0,267,p2,m2
CAIC,p2m2,uneven,realistic,1000,simple,0,0,100,0,311,p2,m2
CAIC,p2m2,uneven,realistic,5000,simple,0,0,100,0,404,p2,m2
VLMR,p2m2,even,realistic,200,simple,21,39,32,8,164,p2,m2
VLMR,p2m2,even,realistic,500,simple,8,2,77,12,272,p2,m2
VLMR,p2m2,even,realistic,1000,simple,3,0,84,13,318,p2,m2
VLMR,p2m2,even,realistic,5000,simple,0,0,82,18,417,p2,m2
VLMR,p2m2,uneven,realistic,200,simple,24,38,29,9,177,p2,m2
VLMR,p2m2,uneven,realistic,500,simple,6,4,79,10,267,p2,m2
VLMR,p2m2,uneven,realistic,1000,simple,0,0,85,15,311,p2,m2
VLMR,p2m2,uneven,realistic,5000,simple,0,0,85,15,404,p2,m2
aBIC,p2m2,even,realistic,200,simple,0,0,34,66,164,p2,m2
aBIC,p2m2,even,realistic,500,simple,0,0,94,6,272,p2,m2
aBIC,p2m2,even,realistic,1000,simple,0,0,99,1,318,p2,m2
aBIC,p2m2,even,realistic,5000,simple,0,0,100,0,417,p2,m2
aBIC,p2m2,uneven,realistic,200,simple,0,0,31,69,177,p2,m2
aBIC,p2m2,uneven,realistic,500,simple,0,0,95,5,267,p2,m2
aBIC,p2m2,uneven,realistic,1000,simple,0,0,100,0,311,p2,m2
aBIC,p2m2,uneven,realistic,5000,simple,0,0,100,0,404,p2,m2
cmPk,p2m2,even,realistic,200,simple,38,44,18,0,164,p2,m2
cmPk,p2m2,even,realistic,500,simple,0,1,99,0,272,p2,m2
cmPk,p2m2,even,realistic,1000,simple,0,0,100,0,318,p2,m2
cmPk,p2m2,even,realistic,5000,simple,0,0,100,0,417,p2,m2
cmPk,p2m2,uneven,realistic,200,simple,22,63,15,0,177,p2,m2
cmPk,p2m2,uneven,realistic,500,simple,0,6,94,0,267,p2,m2
cmPk,p2m2,uneven,realistic,1000,simple,0,0,100,0,311,p2,m2
cmPk,p2m2,uneven,realistic,5000,simple,0,0,100,0,404,p2,m2
