file,sim_model,N,k,k_split,separation,entropy,p,m
p2m1_c5.out,  p2m1,5000,5,uneven,realistic ,0.837,  p2,  m1
p2m1_c6.out,  p2m1,5000,6,uneven,realistic ,0.839,  p2,  m1
p2m2_c2.out,  p2m2,1000,2,even,realistic ,0.844,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,even,realistic ,0.878,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,even,realistic ,0.828,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,even,realistic ,0.869,  p2,  m2
p2m2_c6.out,  p2m2,1000,6,even,realistic ,0.874,  p2,  m2
p2m2_c2.out,  p2m2,200,2,even,realistic ,0.924,  p2,  m2
p2m2_c3.out,  p2m2,200,3,even,realistic ,0.918,  p2,  m2
p2m2_c4.out,  p2m2,200,4,even,realistic ,0.892,  p2,  m2
p2m2_c5.out,  p2m2,200,5,even,realistic ,0.905,  p2,  m2
p2m2_c6.out,  p2m2,200,6,even,realistic ,0.916,  p2,  m2
p2m2_c2.out,  p2m2,500,2,even,realistic ,0.872,  p2,  m2
p2m2_c3.out,  p2m2,500,3,even,realistic ,0.893,  p2,  m2
p2m2_c4.out,  p2m2,500,4,even,realistic ,0.842,  p2,  m2
p2m2_c5.out,  p2m2,500,5,even,realistic ,0.867,  p2,  m2
p2m2_c6.out,  p2m2,500,6,even,realistic ,0.881,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,even,realistic ,0.808,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,even,realistic ,0.876,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,even,realistic ,0.83,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,even,realistic ,0.864,  p2,  m2
p2m2_c6.out,  p2m2,5000,6,even,realistic ,0.871,  p2,  m2
p2m2_c2.out,  p2m2,1000,2,uneven,realistic ,0.888,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,uneven,realistic ,0.894,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,uneven,realistic ,0.839,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,uneven,realistic ,0.886,  p2,  m2
p2m2_c6.out,  p2m2,1000,6,uneven,realistic ,0.862,  p2,  m2
p2m2_c2.out,  p2m2,200,2,uneven,realistic ,0.794,  p2,  m2
p2m2_c3.out,  p2m2,200,3,uneven,realistic ,0.853,  p2,  m2
p2m2_c4.out,  p2m2,200,4,uneven,realistic ,0.852,  p2,  m2
p2m2_c5.out,  p2m2,200,5,uneven,realistic ,0.872,  p2,  m2
p2m2_c6.out,  p2m2,200,6,uneven,realistic ,0.901,  p2,  m2
p2m2_c2.out,  p2m2,500,2,uneven,realistic ,0.861,  p2,  m2
p2m2_c3.out,  p2m2,500,3,uneven,realistic ,0.876,  p2,  m2
p2m2_c4.out,  p2m2,500,4,uneven,realistic ,0.838,  p2,  m2
p2m2_c5.out,  p2m2,500,5,uneven,realistic ,0.858,  p2,  m2
p2m2_c6.out,  p2m2,500,6,uneven,realistic ,0.872,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,uneven,realistic ,0.869,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,uneven,realistic ,0.844,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,uneven,realistic ,0.836,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,uneven,realistic ,0.867,  p2,  m2
p2m2_c6.out,  p2m2,5000,6,uneven,realistic ,0.854,  p2,  m2
