file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m1_c4.out,  p3m1,200,4,uneven,0.405,realistic ,0.919,  p3,  m1
p3m1_c5.out,  p3m1,200,5,uneven,0.405,realistic ,0.905,  p3,  m1
p3m1_c2.out,  p3m1,200,2,uneven,0.9,realistic ,0.901,  p3,  m1
p3m1_c3.out,  p3m1,200,3,uneven,0.9,realistic ,0.82,  p3,  m1
p3m1_c4.out,  p3m1,200,4,uneven,0.9,realistic ,0.829,  p3,  m1
p3m1_c5.out,  p3m1,200,5,uneven,0.9,realistic ,0.828,  p3,  m1
p3m1_c2.out,  p3m1,200,2,uneven,1.5,realistic ,0.9,  p3,  m1
p3m1_c3.out,  p3m1,200,3,uneven,1.5,realistic ,0.813,  p3,  m1
p3m1_c4.out,  p3m1,200,4,uneven,1.5,realistic ,0.824,  p3,  m1
p3m1_c5.out,  p3m1,200,5,uneven,1.5,realistic ,0.814,  p3,  m1
p3m1_c2.out,  p3m1,500,2,uneven,0.405,realistic ,0.768,  p3,  m1
p3m1_c3.out,  p3m1,500,3,uneven,0.405,realistic ,0.759,  p3,  m1
p3m1_c4.out,  p3m1,500,4,uneven,0.405,realistic ,0.832,  p3,  m1
p3m1_c5.out,  p3m1,500,5,uneven,0.405,realistic ,0.862,  p3,  m1
p3m1_c2.out,  p3m1,500,2,uneven,0.9,realistic ,0.764,  p3,  m1
p3m1_c3.out,  p3m1,500,3,uneven,0.9,realistic ,0.781,  p3,  m1
p3m1_c4.out,  p3m1,500,4,uneven,0.9,realistic ,0.831,  p3,  m1
p3m1_c5.out,  p3m1,500,5,uneven,0.9,realistic ,0.856,  p3,  m1
p3m1_c2.out,  p3m1,500,2,uneven,1.5,realistic ,0.843,  p3,  m1
p3m1_c3.out,  p3m1,500,3,uneven,1.5,realistic ,0.764,  p3,  m1
p3m1_c4.out,  p3m1,500,4,uneven,1.5,realistic ,0.831,  p3,  m1
p3m1_c5.out,  p3m1,500,5,uneven,1.5,realistic ,0.843,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,uneven,0.405,realistic ,0.818,  p3,  m1
p3m1_c3.out,  p3m1,5000,3,uneven,0.405,realistic ,0.737,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,uneven,0.405,realistic ,0.796,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,uneven,0.405,realistic ,0.753,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,uneven,0.9,realistic ,0.836,  p3,  m1
p3m1_c3.out,  p3m1,5000,3,uneven,0.9,realistic ,0.741,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,uneven,0.9,realistic ,0.778,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,uneven,0.9,realistic ,0.816,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,uneven,1.5,realistic ,0.847,  p3,  m1
p3m1_c3.out,  p3m1,5000,3,uneven,1.5,realistic ,0.743,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,uneven,1.5,realistic ,0.766,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,uneven,1.5,realistic ,0.825,  p3,  m1
p3m2_c2.out,  p3m2,1000,2,even,0.405,realistic ,0.9,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,even,0.405,realistic ,0.894,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,even,0.405,realistic ,0.784,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,even,0.405,realistic ,0.829,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,even,0.9,realistic ,0.893,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,even,0.9,realistic ,0.793,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,even,0.9,realistic ,0.771,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,even,0.9,realistic ,0.808,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,even,1.5,realistic ,0.892,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,even,1.5,realistic ,0.795,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,even,1.5,realistic ,0.765,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,even,1.5,realistic ,0.767,  p3,  m2
p3m2_c2.out,  p3m2,200,2,even,0.405,realistic ,0.94,  p3,  m2
p3m2_c3.out,  p3m2,200,3,even,0.405,realistic ,0.918,  p3,  m2
p3m2_c4.out,  p3m2,200,4,even,0.405,realistic ,0.939,  p3,  m2
p3m2_c5.out,  p3m2,200,5,even,0.405,realistic ,0.965,  p3,  m2
p3m2_c2.out,  p3m2,200,2,even,0.9,realistic ,0.916,  p3,  m2
p3m2_c3.out,  p3m2,200,3,even,0.9,realistic ,0.917,  p3,  m2
p3m2_c4.out,  p3m2,200,4,even,0.9,realistic ,0.922,  p3,  m2
p3m2_c5.out,  p3m2,200,5,even,0.9,realistic ,0.861,  p3,  m2
p3m2_c2.out,  p3m2,200,2,even,1.5,realistic ,0.926,  p3,  m2
p3m2_c3.out,  p3m2,200,3,even,1.5,realistic ,0.921,  p3,  m2
p3m2_c4.out,  p3m2,200,4,even,1.5,realistic ,0.936,  p3,  m2
p3m2_c5.out,  p3m2,200,5,even,1.5,realistic ,0.926,  p3,  m2
p3m2_c2.out,  p3m2,500,2,even,0.405,realistic ,0.885,  p3,  m2
p3m2_c3.out,  p3m2,500,3,even,0.405,realistic ,0.841,  p3,  m2
p3m2_c4.out,  p3m2,500,4,even,0.405,realistic ,0.795,  p3,  m2
p3m2_c5.out,  p3m2,500,5,even,0.405,realistic ,0.822,  p3,  m2
p3m2_c2.out,  p3m2,500,2,even,0.9,realistic ,0.895,  p3,  m2
p3m2_c3.out,  p3m2,500,3,even,0.9,realistic ,0.819,  p3,  m2
p3m2_c4.out,  p3m2,500,4,even,0.9,realistic ,0.794,  p3,  m2
p3m2_c5.out,  p3m2,500,5,even,0.9,realistic ,0.78,  p3,  m2
p3m2_c2.out,  p3m2,500,2,even,1.5,realistic ,0.909,  p3,  m2
p3m2_c3.out,  p3m2,500,3,even,1.5,realistic ,0.821,  p3,  m2
p3m2_c4.out,  p3m2,500,4,even,1.5,realistic ,0.791,  p3,  m2
p3m2_c5.out,  p3m2,500,5,even,1.5,realistic ,0.81,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,even,0.405,realistic ,0.87,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,even,0.405,realistic ,0.811,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,even,0.405,realistic ,0.806,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,even,0.405,realistic ,0.78,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,even,0.9,realistic ,0.882,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,even,0.9,realistic ,0.815,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,even,0.9,realistic ,0.795,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,even,0.9,realistic ,0.791,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,even,1.5,realistic ,0.889,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,even,1.5,realistic ,0.79,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,even,1.5,realistic ,0.785,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,even,1.5,realistic ,0.788,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,uneven,0.405,realistic ,0.881,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,uneven,0.405,realistic ,0.794,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,uneven,0.405,realistic ,0.794,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,uneven,0.405,realistic ,0.825,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,uneven,0.9,realistic ,0.892,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,uneven,0.9,realistic ,0.788,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,uneven,0.9,realistic ,0.784,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,uneven,0.9,realistic ,0.783,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,uneven,1.5,realistic ,0.908,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,uneven,1.5,realistic ,0.793,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,uneven,1.5,realistic ,0.781,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,uneven,1.5,realistic ,0.777,  p3,  m2
p3m2_c2.out,  p3m2,200,2,uneven,0.405,realistic ,0.943,  p3,  m2
p3m2_c3.out,  p3m2,200,3,uneven,0.405,realistic ,0.827,  p3,  m2
p3m2_c4.out,  p3m2,200,4,uneven,0.405,realistic ,0.949,  p3,  m2
p3m2_c5.out,  p3m2,200,5,uneven,0.405,realistic ,0.899,  p3,  m2
p3m2_c2.out,  p3m2,200,2,uneven,0.9,realistic ,0.956,  p3,  m2
p3m2_c3.out,  p3m2,200,3,uneven,0.9,realistic ,0.82,  p3,  m2
p3m2_c4.out,  p3m2,200,4,uneven,0.9,realistic ,0.857,  p3,  m2
p3m2_c5.out,  p3m2,200,5,uneven,0.9,realistic ,0.889,  p3,  m2
p3m2_c2.out,  p3m2,200,2,uneven,1.5,realistic ,0.963,  p3,  m2
p3m2_c3.out,  p3m2,200,3,uneven,1.5,realistic ,0.816,  p3,  m2
p3m2_c4.out,  p3m2,200,4,uneven,1.5,realistic ,0.856,  p3,  m2
p3m2_c5.out,  p3m2,200,5,uneven,1.5,realistic ,0.894,  p3,  m2
p3m2_c2.out,  p3m2,500,2,uneven,0.405,realistic ,0.844,  p3,  m2
p3m2_c3.out,  p3m2,500,3,uneven,0.405,realistic ,0.789,  p3,  m2
p3m2_c4.out,  p3m2,500,4,uneven,0.405,realistic ,0.832,  p3,  m2
p3m2_c5.out,  p3m2,500,5,uneven,0.405,realistic ,0.875,  p3,  m2
p3m2_c2.out,  p3m2,500,2,uneven,0.9,realistic ,0.888,  p3,  m2
p3m2_c3.out,  p3m2,500,3,uneven,0.9,realistic ,0.789,  p3,  m2
p3m2_c4.out,  p3m2,500,4,uneven,0.9,realistic ,0.827,  p3,  m2
p3m2_c5.out,  p3m2,500,5,uneven,0.9,realistic ,0.834,  p3,  m2
p3m2_c2.out,  p3m2,500,2,uneven,1.5,realistic ,0.91,  p3,  m2
p3m2_c3.out,  p3m2,500,3,uneven,1.5,realistic ,0.782,  p3,  m2
p3m2_c4.out,  p3m2,500,4,uneven,1.5,realistic ,0.84,  p3,  m2
p3m2_c5.out,  p3m2,500,5,uneven,1.5,realistic ,0.808,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,uneven,0.405,realistic ,0.867,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,uneven,0.405,realistic ,0.773,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,uneven,0.405,realistic ,0.822,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,uneven,0.405,realistic ,0.79,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,uneven,0.9,realistic ,0.888,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,uneven,0.9,realistic ,0.774,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,uneven,0.9,realistic ,0.809,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,uneven,0.9,realistic ,0.763,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,uneven,1.5,realistic ,0.894,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,uneven,1.5,realistic ,0.772,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,uneven,1.5,realistic ,0.752,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,uneven,1.5,realistic ,0.789,  p3,  m2
p3m3_c2.out,  p3m3,1000,2,even,0.405,realistic ,0.897,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,even,0.405,realistic ,0.901,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,even,0.405,realistic ,0.792,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,even,0.405,realistic ,0.834,  p3,  m3
p3m3_c2.out,  p3m3,1000,2,even,0.9,realistic ,0.885,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,even,0.9,realistic ,0.891,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,even,0.9,realistic ,0.798,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,even,0.9,realistic ,0.814,  p3,  m3
p3m3_c2.out,  p3m3,1000,2,even,1.5,realistic ,0.882,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,even,1.5,realistic ,0.886,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,even,1.5,realistic ,0.798,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,even,1.5,realistic ,0.834,  p3,  m3
p3m3_c2.out,  p3m3,200,2,even,0.405,realistic ,0.932,  p3,  m3
p3m3_c3.out,  p3m3,200,3,even,0.405,realistic ,0.92,  p3,  m3
p3m3_c4.out,  p3m3,200,4,even,0.405,realistic ,0.937,  p3,  m3
p3m3_c5.out,  p3m3,200,5,even,0.405,realistic ,0.964,  p3,  m3
p3m3_c2.out,  p3m3,200,2,even,0.9,realistic ,0.915,  p3,  m3
p3m3_c3.out,  p3m3,200,3,even,0.9,realistic ,0.92,  p3,  m3
p3m3_c4.out,  p3m3,200,4,even,0.9,realistic ,0.938,  p3,  m3
p3m3_c5.out,  p3m3,200,5,even,0.9,realistic ,0.891,  p3,  m3
p3m3_c2.out,  p3m3,200,2,even,1.5,realistic ,0.898,  p3,  m3
p3m3_c3.out,  p3m3,200,3,even,1.5,realistic ,0.919,  p3,  m3
p3m3_c4.out,  p3m3,200,4,even,1.5,realistic ,0.939,  p3,  m3
p3m3_c5.out,  p3m3,200,5,even,1.5,realistic ,0.935,  p3,  m3
p3m3_c2.out,  p3m3,500,2,even,0.405,realistic ,0.877,  p3,  m3
p3m3_c3.out,  p3m3,500,3,even,0.405,realistic ,0.839,  p3,  m3
p3m3_c4.out,  p3m3,500,4,even,0.405,realistic ,0.796,  p3,  m3
p3m3_c5.out,  p3m3,500,5,even,0.405,realistic ,0.821,  p3,  m3
p3m3_c2.out,  p3m3,500,2,even,0.9,realistic ,0.891,  p3,  m3
p3m3_c3.out,  p3m3,500,3,even,0.9,realistic ,0.841,  p3,  m3
