Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
CAIC,p2m1,uneven,realistic,200,complex,31,56,13,1,0,460,p2,m1
CAIC,p2m1,uneven,realistic,500,complex,0,0,13,87,0,491,p2,m1
CAIC,p2m1,uneven,realistic,1000,complex,0,0,0,100,0,482,p2,m1
CAIC,p2m1,uneven,realistic,5000,complex,0,0,0,100,0,481,p2,m1
VLMR,p2m1,even,realistic,200,complex,10,35,24,28,4,469,p2,m1
VLMR,p2m1,even,realistic,500,complex,1,5,2,82,11,490,p2,m1
VLMR,p2m1,even,realistic,1000,complex,0,2,0,85,13,486,p2,m1
VLMR,p2m1,even,realistic,5000,complex,0,0,0,85,15,476,p2,m1
VLMR,p2m1,uneven,realistic,200,complex,19,33,25,22,2,460,p2,m1
VLMR,p2m1,uneven,realistic,500,complex,4,7,5,71,13,491,p2,m1
VLMR,p2m1,uneven,realistic,1000,complex,1,1,0,83,15,482,p2,m1
VLMR,p2m1,uneven,realistic,5000,complex,0,0,0,82,18,481,p2,m1
aBIC,p2m1,even,realistic,200,complex,0,0,0,68,31,469,p2,m1
aBIC,p2m1,even,realistic,500,complex,0,0,0,99,1,490,p2,m1
aBIC,p2m1,even,realistic,1000,complex,0,0,0,100,0,486,p2,m1
aBIC,p2m1,even,realistic,5000,complex,0,0,0,100,0,476,p2,m1
aBIC,p2m1,uneven,realistic,200,complex,0,0,0,69,30,460,p2,m1
aBIC,p2m1,uneven,realistic,500,complex,0,0,0,99,1,491,p2,m1
aBIC,p2m1,uneven,realistic,1000,complex,0,0,0,100,0,482,p2,m1
aBIC,p2m1,uneven,realistic,5000,complex,0,0,0,100,0,481,p2,m1
cmPk,p2m1,even,realistic,200,complex,1,33,35,30,0,469,p2,m1
cmPk,p2m1,even,realistic,500,complex,0,0,0,100,0,490,p2,m1
cmPk,p2m1,even,realistic,1000,complex,0,0,0,100,0,486,p2,m1
cmPk,p2m1,even,realistic,5000,complex,0,0,0,100,0,476,p2,m1
cmPk,p2m1,uneven,realistic,200,complex,11,47,31,11,0,460,p2,m1
cmPk,p2m1,uneven,realistic,500,complex,0,0,3,97,0,491,p2,m1
cmPk,p2m1,uneven,realistic,1000,complex,0,0,0,100,0,482,p2,m1
cmPk,p2m1,uneven,realistic,5000,complex,0,0,0,100,0,481,p2,m1
AWE,p2m2,even,realistic,200,complex,100,0,0,0,0,297,p2,m2
AWE,p2m2,even,realistic,500,complex,8,54,31,6,0,378,p2,m2
AWE,p2m2,even,realistic,1000,complex,0,0,0,100,0,432,p2,m2
AWE,p2m2,even,realistic,5000,complex,0,0,0,100,0,463,p2,m2
AWE,p2m2,uneven,realistic,200,complex,100,0,0,0,0,286,p2,m2
AWE,p2m2,uneven,realistic,500,complex,47,51,3,0,0,376,p2,m2
AWE,p2m2,uneven,realistic,1000,complex,0,0,1,99,0,434,p2,m2
AWE,p2m2,uneven,realistic,5000,complex,0,0,0,100,0,458,p2,m2
BIC,p2m2,even,realistic,200,complex,0,5,37,58,0,297,p2,m2
BIC,p2m2,even,realistic,500,complex,0,0,0,100,0,378,p2,m2
BIC,p2m2,even,realistic,1000,complex,0,0,0,100,0,432,p2,m2
BIC,p2m2,even,realistic,5000,complex,0,0,0,100,0,463,p2,m2
BIC,p2m2,uneven,realistic,200,complex,6,30,36,27,0,286,p2,m2
BIC,p2m2,uneven,realistic,500,complex,0,0,0,100,0,376,p2,m2
BIC,p2m2,uneven,realistic,1000,complex,0,0,0,100,0,434,p2,m2
BIC,p2m2,uneven,realistic,5000,complex,0,0,0,100,0,458,p2,m2
CAIC,p2m2,even,realistic,200,complex,3,29,47,20,0,297,p2,m2
CAIC,p2m2,even,realistic,500,complex,0,0,0,100,0,378,p2,m2
CAIC,p2m2,even,realistic,1000,complex,0,0,0,100,0,432,p2,m2
CAIC,p2m2,even,realistic,5000,complex,0,0,0,100,0,463,p2,m2
CAIC,p2m2,uneven,realistic,200,complex,24,50,21,5,0,286,p2,m2
CAIC,p2m2,uneven,realistic,500,complex,0,0,1,99,0,376,p2,m2
CAIC,p2m2,uneven,realistic,1000,complex,0,0,0,100,0,434,p2,m2
CAIC,p2m2,uneven,realistic,5000,complex,0,0,0,100,0,458,p2,m2
VLMR,p2m2,even,realistic,200,complex,19,27,22,31,2,297,p2,m2
VLMR,p2m2,even,realistic,500,complex,5,5,2,83,4,378,p2,m2
VLMR,p2m2,even,realistic,1000,complex,2,1,0,89,8,432,p2,m2
VLMR,p2m2,even,realistic,5000,complex,0,0,0,92,8,463,p2,m2
VLMR,p2m2,uneven,realistic,200,complex,20,37,19,22,2,286,p2,m2
VLMR,p2m2,uneven,realistic,500,complex,4,7,1,81,8,376,p2,m2
VLMR,p2m2,uneven,realistic,1000,complex,1,0,0,91,7,434,p2,m2
VLMR,p2m2,uneven,realistic,5000,complex,0,0,0,95,5,458,p2,m2
aBIC,p2m2,even,realistic,200,complex,0,0,0,37,63,297,p2,m2
aBIC,p2m2,even,realistic,500,complex,0,0,0,97,3,378,p2,m2
aBIC,p2m2,even,realistic,1000,complex,0,0,0,100,0,432,p2,m2
aBIC,p2m2,even,realistic,5000,complex,0,0,0,100,0,463,p2,m2
aBIC,p2m2,uneven,realistic,200,complex,0,0,0,37,63,286,p2,m2
aBIC,p2m2,uneven,realistic,500,complex,0,0,0,97,3,376,p2,m2
aBIC,p2m2,uneven,realistic,1000,complex,0,0,0,100,0,434,p2,m2
aBIC,p2m2,uneven,realistic,5000,complex,0,0,0,100,0,458,p2,m2
cmPk,p2m2,even,realistic,200,complex,0,5,37,58,0,297,p2,m2
cmPk,p2m2,even,realistic,500,complex,0,0,0,100,0,378,p2,m2
cmPk,p2m2,even,realistic,1000,complex,0,0,0,100,0,432,p2,m2
cmPk,p2m2,even,realistic,5000,complex,0,0,0,100,0,463,p2,m2
cmPk,p2m2,uneven,realistic,200,complex,6,30,36,27,0,286,p2,m2
cmPk,p2m2,uneven,realistic,500,complex,0,0,0,100,0,376,p2,m2
cmPk,p2m2,uneven,realistic,1000,complex,0,0,0,100,0,434,p2,m2
cmPk,p2m2,uneven,realistic,5000,complex,0,0,0,100,0,458,p2,m2
