Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
VLMR,p2m1,even,ideal,200,simple,5,7,53,35,494,p2,m1
VLMR,p2m1,even,ideal,500,simple,1,0,59,40,494,p2,m1
VLMR,p2m1,even,ideal,1000,simple,0,0,65,35,492,p2,m1
VLMR,p2m1,even,ideal,5000,simple,0,0,84,16,486,p2,m1
VLMR,p2m1,uneven,ideal,200,simple,6,12,47,35,498,p2,m1
VLMR,p2m1,uneven,ideal,500,simple,1,0,59,40,496,p2,m1
VLMR,p2m1,uneven,ideal,1000,simple,0,0,68,32,495,p2,m1
VLMR,p2m1,uneven,ideal,5000,simple,0,0,83,17,476,p2,m1
aBIC,p2m1,even,ideal,200,simple,0,0,94,6,494,p2,m1
aBIC,p2m1,even,ideal,500,simple,0,0,99,1,494,p2,m1
aBIC,p2m1,even,ideal,1000,simple,0,0,100,0,492,p2,m1
aBIC,p2m1,even,ideal,5000,simple,0,0,100,0,486,p2,m1
aBIC,p2m1,uneven,ideal,200,simple,0,0,95,5,498,p2,m1
aBIC,p2m1,uneven,ideal,500,simple,0,0,99,1,496,p2,m1
aBIC,p2m1,uneven,ideal,1000,simple,0,0,100,0,495,p2,m1
aBIC,p2m1,uneven,ideal,5000,simple,0,0,100,0,476,p2,m1
cmPk,p2m1,even,ideal,200,simple,0,4,96,0,494,p2,m1
cmPk,p2m1,even,ideal,500,simple,0,0,100,0,494,p2,m1
cmPk,p2m1,even,ideal,1000,simple,0,0,100,0,492,p2,m1
cmPk,p2m1,even,ideal,5000,simple,0,0,100,0,486,p2,m1
cmPk,p2m1,uneven,ideal,200,simple,0,17,83,0,498,p2,m1
cmPk,p2m1,uneven,ideal,500,simple,0,0,100,0,496,p2,m1
cmPk,p2m1,uneven,ideal,1000,simple,0,0,100,0,495,p2,m1
cmPk,p2m1,uneven,ideal,5000,simple,0,0,100,0,476,p2,m1
AWE,p2m2,even,ideal,200,simple,27,73,0,0,201,p2,m2
AWE,p2m2,even,ideal,500,simple,0,21,79,0,289,p2,m2
AWE,p2m2,even,ideal,1000,simple,0,0,100,0,352,p2,m2
AWE,p2m2,even,ideal,5000,simple,0,0,100,0,420,p2,m2
AWE,p2m2,uneven,ideal,200,simple,83,17,0,0,219,p2,m2
AWE,p2m2,uneven,ideal,500,simple,0,8,92,0,320,p2,m2
AWE,p2m2,uneven,ideal,1000,simple,0,0,100,0,353,p2,m2
AWE,p2m2,uneven,ideal,5000,simple,0,0,100,0,446,p2,m2
BIC,p2m2,even,ideal,200,simple,0,6,94,0,201,p2,m2
BIC,p2m2,even,ideal,500,simple,0,0,100,0,289,p2,m2
BIC,p2m2,even,ideal,1000,simple,0,0,100,0,352,p2,m2
BIC,p2m2,even,ideal,5000,simple,0,0,100,0,420,p2,m2
BIC,p2m2,uneven,ideal,200,simple,0,5,95,0,219,p2,m2
BIC,p2m2,uneven,ideal,500,simple,0,0,100,0,320,p2,m2
