file,sim_model,N,k,k_split,separation,entropy,p,m
p2m2_c4.out,  p2m2,5000,4,even,realistic ,0.818,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,even,realistic ,0.835,  p2,  m2
p2m2_c2.out,  p2m2,1000,2,uneven,realistic ,0.864,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,uneven,realistic ,0.794,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,uneven,realistic ,0.792,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,uneven,realistic ,0.797,  p2,  m2
p2m2_c2.out,  p2m2,200,2,uneven,realistic ,0.923,  p2,  m2
p2m2_c3.out,  p2m2,200,3,uneven,realistic ,0.826,  p2,  m2
p2m2_c4.out,  p2m2,200,4,uneven,realistic ,0.937,  p2,  m2
p2m2_c5.out,  p2m2,200,5,uneven,realistic ,0.899,  p2,  m2
p2m2_c2.out,  p2m2,500,2,uneven,realistic ,0.796,  p2,  m2
p2m2_c3.out,  p2m2,500,3,uneven,realistic ,0.768,  p2,  m2
p2m2_c4.out,  p2m2,500,4,uneven,realistic ,0.814,  p2,  m2
p2m2_c5.out,  p2m2,500,5,uneven,realistic ,0.847,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,uneven,realistic ,0.84,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,uneven,realistic ,0.771,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,uneven,realistic ,0.823,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,uneven,realistic ,0.838,  p2,  m2
