file,sim_model,N,k,k_split,separation,entropy,p,m
p2m1_c5.out,  p2m1,5000,5,uneven,ideal ,0.911,  p2,  m1
p2m1_c6.out,  p2m1,5000,6,uneven,ideal ,0.883,  p2,  m1
p2m2_c2.out,  p2m2,1000,2,even,ideal ,0.919,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,even,ideal ,0.902,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,even,ideal ,0.912,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,even,ideal ,0.915,  p2,  m2
p2m2_c6.out,  p2m2,1000,6,even,ideal ,0.927,  p2,  m2
p2m2_c2.out,  p2m2,200,2,even,ideal ,0.959,  p2,  m2
p2m2_c3.out,  p2m2,200,3,even,ideal ,0.944,  p2,  m2
p2m2_c4.out,  p2m2,200,4,even,ideal ,0.953,  p2,  m2
p2m2_c5.out,  p2m2,200,5,even,ideal ,0.96,  p2,  m2
p2m2_c6.out,  p2m2,200,6,even,ideal ,0.964,  p2,  m2
p2m2_c2.out,  p2m2,500,2,even,ideal ,0.936,  p2,  m2
p2m2_c3.out,  p2m2,500,3,even,ideal ,0.89,  p2,  m2
p2m2_c4.out,  p2m2,500,4,even,ideal ,0.914,  p2,  m2
p2m2_c5.out,  p2m2,500,5,even,ideal ,0.92,  p2,  m2
p2m2_c6.out,  p2m2,500,6,even,ideal ,0.922,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,even,ideal ,0.914,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,even,ideal ,0.9,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,even,ideal ,0.907,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,even,ideal ,0.922,  p2,  m2
p2m2_c6.out,  p2m2,5000,6,even,ideal ,0.927,  p2,  m2
p2m2_c2.out,  p2m2,1000,2,uneven,ideal ,0.921,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,uneven,ideal ,0.909,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,uneven,ideal ,0.928,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,uneven,ideal ,0.933,  p2,  m2
p2m2_c6.out,  p2m2,1000,6,uneven,ideal ,0.929,  p2,  m2
p2m2_c2.out,  p2m2,200,2,uneven,ideal ,0.947,  p2,  m2
p2m2_c3.out,  p2m2,200,3,uneven,ideal ,0.961,  p2,  m2
p2m2_c4.out,  p2m2,200,4,uneven,ideal ,0.97,  p2,  m2
p2m2_c5.out,  p2m2,200,5,uneven,ideal ,0.975,  p2,  m2
p2m2_c6.out,  p2m2,200,6,uneven,ideal ,0.966,  p2,  m2
p2m2_c2.out,  p2m2,500,2,uneven,ideal ,0.938,  p2,  m2
p2m2_c3.out,  p2m2,500,3,uneven,ideal ,0.913,  p2,  m2
p2m2_c4.out,  p2m2,500,4,uneven,ideal ,0.936,  p2,  m2
p2m2_c5.out,  p2m2,500,5,uneven,ideal ,0.924,  p2,  m2
p2m2_c6.out,  p2m2,500,6,uneven,ideal ,0.924,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,uneven,ideal ,0.913,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,uneven,ideal ,0.9,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,uneven,ideal ,0.921,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,uneven,ideal ,0.927,  p2,  m2
p2m2_c6.out,  p2m2,5000,6,uneven,ideal ,0.916,  p2,  m2
